Unnamed: 0,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,tweets,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
5001,19595493,Tue Jan 27 15:01:18 +0000 2009,4637,4637,0,0,2787,2787,19603,19603,1966,1966,96,96,1,['RT @Crespo: #WorldCup Apoyamos y amamos nuestra selecci贸n. El f煤tbol es extraordinario porque siempre nos da la oportunidad de levantarnos.鈥?],140,1,1,0,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,6.62E-08,9.41E-09,140,6.64E-09,3.24E-10,1.57E-08,1,1,0.164285714,1
5002,19595659,Tue Jan 27 15:04:57 +0000 2009,508,508,0,0,351,351,846,846,1511,1511,17,17,1,['It鈥檚 all about the #WorldCup #WorldCup germany https://t.co/Ez0Wh3CWFu'],70,2,0,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,2.86E-09,1.19E-09,70,5.10E-09,5.74E-11,1.72E-09,2,0,0.165714286,1
5003,19596687,Tue Jan 27 15:26:17 +0000 2009,3684788,3684788,0,0,319,319,7366,7366,2309,2309,7756,7756,1,"['Our #WorldCup dream starts now, let鈥檚 defend our title!! 馃弳馃嚛馃嚜鈿金煈忦煆?#LP10 #diemannschaft https://t.co/qS87hWMjEs']",113,3,0,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,2.49E-08,1.08E-09,113,7.80E-09,2.62E-08,1.24E-05,3,0,0.248571429,-1
5004,19598027,Tue Jan 27 15:53:34 +0000 2009,364,364,0,0,849,849,25144,25144,1429,1429,12,12,1,['Mitrovic is a CB playing up top #WorldCup'],41,1,0,0,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,8.49E-08,2.87E-09,41,4.82E-09,4.05E-11,1.23E-09,1,0,0.082857143,1
5005,19598039,Tue Jan 27 15:53:46 +0000 2009,236,236,0,0,709,709,20222,20222,21276,21276,8,8,1,"[""RT @Banxcartoons: From today's @FT #WorldCup https://t.co/OYvHwRFHbj""]",68,1,2,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,6.83E-08,2.39E-09,68,7.18E-08,2.70E-11,7.97E-10,1,2,0.245714286,1
5006,19598456,Tue Jan 27 16:02:10 +0000 2009,223,223,0,0,491,491,6092,6092,0,0,8,8,1,['RT @brian_bilston: Here鈥檚 a new poem entitled 鈥楩ixtures鈥?\n\n#WorldCup2018 https://t.co/PKXyJrRt0E'],96,1,1,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,2.06E-08,1.66E-09,96,0,2.70E-11,7.53E-10,1,1,0.164285714,1
5007,19599762,Tue Jan 27 16:26:19 +0000 2009,328,328,0,0,453,453,154578,154533,27595,27575,49,49,36,"['銇娿仐銇?#CRCSRB #WorldCup', '銇勩倓銈儠鐒°亱銇ｃ仧銇猏u3000绲愬眬銉娿偆銈广偦銉笺儢銇犮亼銇?#CRCSRB #WorldCup', '銈广偝銈儸銈广仹鎶樸倞杩斻仐 #CRCSRB #WorldCup', '鏈€绲傜殑銇倶鏈ㄣ仺涓窛銇屼粯銇嶅悎銇嗘剰鍛充笉鏄庛仾涓栫晫绶氥伀琛屻亶銇熴亸銇亜锛?#CRCSRB #WorldCup', '鐙欍仯銇燂綖锝烇綖锝烇綖锝烇綖锝烇綖锝?#CRCSRB #WorldCup', '銇撱伄鍓嶃伄銉儕銈︺儔銈傘仩銇戙仼澹佸伌鐙欍亞銇銇勩仾銆侴K銇偣銉氥兗銈广倛銈娿儢銉┿偆銉炽儔銈掋偙銈仚銈嬫柟銇岃壇銇勩伄銇嬨倐銆?#CRCSRB #WorldCup', '銇搞亜銇搞亜銇搞亜 #CRCSRB #WorldCup', '銈︺儙銈笺儹 #CRCSRB #WorldCup', '銇撱伄銇傘仺銇?4鏅傘亱銈夈儔銈ゃ儎銉°偔銈枫偝 #GERMEX #WorldCup', '銇娿亜銈点儢銉併儯銉炽儘銉仹銈傘亞濮嬨伨銇ｃ仺銈嬨倓銈撱亼 #GERMEX #WorldCup', '銈姐偗銉忋兂銉€銉炽仌銈撱倓 #GERMEX #Worldcup', '銉忋偆銉椼儸銈广亱銈夊叆銈嬨儭銈偡銈?#GERMEX #Worldcup', '銇娿仯銇椼亜 #GERMEX #Worldcup', '銇勩倓銆溿儉銈ゃ儸銈儓琛屻亼銇熴倱銇樸們銇亜銇儊銉併儯 #GERMEX #Worldcup', '銉曘偂銈︺儷銈广儹銉?#GERMEX #Worldcup', '銉偠銉笺儙銇儓銉┿儍銉楀ソ銇?#GERMEX #Worldcup', '銉°偔銈枫偝浜恒儠銉炽儭銉偣瀚屻亜銈勩仾 #GERMEX #Worldcup', '銇傘仺涓€姝╋紒銇娿仐銇?#GERMEX #Worldcup', '銉°偔銈枫偝鍏堝埗銉偠銉笺儙锛侊紒锛侊紒 #GERMEX #Worldcup', '銇勩亜銉囥偅銉曘偋銉炽偣 #GERMEX #Worldcup', '銇勩亜瑭﹀悎銇?#GERMEX #Worldcup', '銉曘偂銈︺儷銇嬨伃銇?#GERMEX #Worldcup', '銇勩倓銆滃ぇ銉併儯銉炽偣銇犮仯銇?#GERMEX #Worldcup', '瀹堝倷鍥恒倎銇伄銇嬶紵 #GERMEX #Worldcup', '銉偆銈规潵銈?#GERMEX #Worldcup', '銉夈偆銉勩伅銈广償銉笺儔鎰熺劇銇勩亱銈夊叏銇忓墺銇屻仜銇亜銇?#GERMEX #Worldcup', '銉偠銉笺儙浜や唬 #GERMEX #Worldcup', '銇娿亜銇┿亞銇仯銇︺倠銈姐偗銉忋兂銉€銉筹紒锛?#GERMEX #Worldcup', 'VAR! VAR! #GERMEX #Worldcup', '銉┿儠銈°偍銉兓銉炪儷銈便偣銉汇偄銉儛銉偣 #GERMEX #Worldcup', '銇嗐伈銈囥€溿€?#GERMEX #Worldcup', '銈淬儭銈瑰斧鍖?#GERMEX #Worldcup', '澶栥仚銇亗銇傘亗銇傘亗 #GERMEX #Worldcup', '銇嗐亰銇娿亰銇娿亰銇娿亰銇ㄣ亞 #GERMEX #Worldcup', '銇曘亖銈儵銈ゃ優銉冦偗銈广仩 #GERMEX #Worldcup', '銉°偔銈枫偝銇偊銉庛偧銉紒锛侊紒锛?#GERMEX #Worldcup']",1083,72,0,0,1.53E+12,1.53E+12,1.23E+12,45,0,20,0,0,0.128571429,5.22E-07,1.53E-09,30.08333333,9.32E-08,1.65E-10,1.11E-09,2,0,0.165714286,-1
5008,19601858,Tue Jan 27 17:04:44 +0000 2009,2401,2401,0,0,1249,1249,74657,74657,2895,2895,130,130,1,"['RT @RealNeilB: I also like Cajun food, but you are never gonna catch me rooting for the Saints #smh https://t.co/mfpUoWVqBP']",123,1,1,1,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,2.52E-07,4.22E-09,123,9.77E-09,4.39E-10,8.11E-09,1,1,0.164285714,1
5009,19602256,Tue Jan 27 17:11:43 +0000 2009,5950,5950,0,0,4635,4635,42984,42984,640,640,95,95,1,['That鈥檚 one of the finest goals you will ever see!! #mexvger #worldcup2018'],73,2,0,0,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,1.45E-07,1.56E-08,73,2.16E-09,3.21E-10,2.01E-08,2,0,0.165714286,1
5010,19602634,Tue Jan 27 17:18:32 +0000 2009,823,823,0,0,961,961,10901,10901,1501,1501,33,33,1,['Gooooooooooooooooooooooooooooooool #ElTri #Mexico #WorldCup'],59,3,0,0,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,3.68E-08,3.24E-09,59,5.07E-09,1.11E-10,2.78E-09,3,0,0.248571429,1
5011,19602770,Tue Jan 27 17:21:03 +0000 2009,1683,1683,0,0,992,992,19260,19260,1236,1236,29,29,1,['Beers and Caipirinhas in full flow here in Brazil - 1 hour to go! Anyone seen my beer? #brazil  #WorldCup'],105,2,0,0,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,6.50E-08,3.35E-09,105,4.17E-09,9.79E-11,5.68E-09,2,0,0.165714286,1
5012,19604028,Tue Jan 27 17:42:33 +0000 2009,5951,5951,0,0,3049,3049,76104,76104,26631,26631,159,159,1,['What a good game. Germany Mexico. #JogaBonito #TheBeautifulGame #WorldCup'],73,3,0,0,1.53E+12,1.53E+12,1.23E+12,0,0,0,0,0,0,2.57E-07,1.03E-08,73,8.99E-08,5.37E-10,2.01E-08,3,0,0.248571429,1
