 ,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
270001,803380013533904896,Mon Nov 28 23:28:16 +0000 2016,290,290,0,0,557,557,5674,5674,4433,4433,2,2,1,66.0,3.0,1.0,1.0,1529245486000.0,1529245486000.0,1480375696000.0,0,0,0,0,0,0.0,1.1610444816726245e-07,1.1397634407678036e-08,66.0,9.071043685679845e-08,4.0925078663116825e-11,5.934136406151941e-09,3.0,1.0,0.3299999999999999,1
270002,803382564216074240,Mon Nov 28 23:38:24 +0000 2016,103,103,0,0,178,178,929,929,3694,3694,0,0,1,140.0,1.0,3.0,0.0,1529245911000.0,1529245911000.0,1480376304000.0,0,0,0,0,0,0.0,1.9009770223853042e-08,3.6423456403076867e-09,140.0,7.55889033443629e-08,0.0,2.1076494435488292e-09,1.0,3.0,0.3271428571428572,1
270003,803391718607486976,Tue Nov 29 00:14:46 +0000 2016,1,1,0,0,12,12,1,1,16,16,0,0,1,140.0,3.0,1.0,1.0,1529252138000.0,1529252138000.0,1480378486000.0,0,0,0,0,0,0.0,2.0460922380017765e-11,2.455310685602132e-10,140.0,3.2737475808028423e-10,0.0,2.0460922380017765e-11,3.0,1.0,0.3299999999999999,1
270004,803396647078264834,Tue Nov 29 00:34:21 +0000 2016,207,207,0,0,52,52,36059,36059,37895,37895,0,0,1,149.0,3.0,1.0,0.0,1529242607000.0,1529242607000.0,1480379661000.0,0,0,0,0,0,0.0,7.379620541094677e-07,1.0642010819404954e-09,149.0,7.75536538464136e-07,0.0,4.2363389223400485e-09,3.0,1.0,0.3299999999999999,1
270005,803401340584153088,Tue Nov 29 00:53:00 +0000 2016,171,171,0,0,63,63,529,529,120,120,2,2,1,144.0,2.0,1.0,0.0,1529254720000.0,1529254720000.0,1480380780000.0,0,0,0,0,0,0.0,1.0823764157340292e-08,1.289030514012171e-09,144.0,2.4552962171660396e-09,4.0921603619434e-11,3.498797109461607e-09,2.0,1.0,0.2471428571428571,1
270006,803407441346068481,Tue Nov 29 01:17:15 +0000 2016,322,322,0,0,253,253,7006,7006,1007,1007,0,0,1,137.0,4.0,1.0,1.0,1529251553000.0,1529251553000.0,1480382235000.0,0,0,0,0,0,0.0,1.4336193519213837e-07,5.177072452699258e-09,137.0,2.060597612596108e-08,0.0,6.589001303435419e-09,4.0,1.0,0.4128571428571428,1
270007,803427519386898432,Tue Nov 29 02:37:02 +0000 2016,16,16,0,0,1042,1042,1117,1116,169,169,1,1,3,41.0,5.0,0.0,0.0,1529251101000.0,1529251066000.0,1480387022000.0,1,0,0,0,0,0.0028571428571428,2.2859327810107712e-08,2.1324457992956342e-08,13.666666666666666,3.458573321314416e-09,2.046493089535157e-11,3.274388943256252e-10,1.6666666666666667,0.0,0.138095238095238,1
270008,803427819531341824,Tue Nov 29 02:38:13 +0000 2016,55,55,0,0,454,454,2406,2406,5457,5457,0,0,1,87.0,3.0,2.0,0.0,1529247501000.0,1529247501000.0,1480387093000.0,0,0,0,0,0,0.0,4.92423231504739e-08,9.29177668757903e-09,87.0,1.1168551846722197e-07,0.0,1.1256557661164023e-09,3.0,2.0,0.4114285714285713,1
270009,803428753271504896,Tue Nov 29 02:41:56 +0000 2016,18295,18284,0,0,20070,20069,96397,96375,95720,95685,18,18,2,282.0,0.0,3.0,0.0,1529239598000.0,1529237612000.0,1480387316000.0,22,1,35,0,11,0.0657142857142857,1.973234331202788e-06,4.108303477000317e-07,141.0,1.9593762272968127e-06,3.684577109417325e-10,3.744963234266109e-07,0.0,1.5,0.2442857142857143,-1
270010,803447890588798976,Tue Nov 29 03:57:59 +0000 2016,724,721,0,0,1189,1188,7573,7368,11325,11295,6,6,12,1416.0,18.0,14.0,3.0,1529251313000.0,1529227491000.0,1480391879000.0,205,1,30,0,3,0.5885714285714285,1.5499565549613207e-07,2.4335116121075002e-08,118.0,2.3178737600603402e-07,1.2280125881114382e-10,1.4818018563211354e-08,1.5,1.1666666666666667,1.2642857142857142,-1
270011,803453955246292993,Tue Nov 29 04:22:05 +0000 2016,175,175,0,0,358,358,6808,6807,6811,6802,0,0,2,238.0,3.0,3.0,1.0,1529248221000.0,1529245147000.0,1480393325000.0,1,0,9,0,0,0.0028571428571428,1.393514377760624e-07,7.327822374240649e-09,119.0,1.3941284410880744e-07,0.0,3.5820360767936127e-09,1.5,1.5,0.3685714285714286,1
270012,803470977451618306,Tue Nov 29 05:29:43 +0000 2016,572,572,0,0,310,310,8701,8701,1129,1129,3,3,1,68.0,0.0,0.0,1.0,1529221869000.0,1529221869000.0,1480397383000.0,0,0,0,0,0,0.0,1.782097613889883e-07,6.349273190505272e-09,68.0,2.3123643329291785e-08,6.144457926295425e-11,1.1715433112803277e-08,0.0,0.0,0.0,1
270013,803476436455686144,Tue Nov 29 05:51:25 +0000 2016,493,493,0,0,1481,1481,2245,2245,2003,2003,0,0,1,144.0,0.0,1.0,0.0,1529237370000.0,1529237370000.0,1480398685000.0,0,0,0,0,0,0.0,4.5967658629629363e-08,3.032432179531451e-08,144.0,4.1012570260644816e-08,0.0,1.0094456883923064e-08,0.0,1.0,0.0814285714285714,1
270014,803480106127659008,Tue Nov 29 06:06:00 +0000 2016,137,137,0,0,526,526,82881,82881,87155,87155,0,0,1,140.0,1.0,1.0,0.0,1529236857000.0,1529236857000.0,1480399560000.0,0,0,0,0,0,0.0,1.6970840953789888e-06,1.0770456849812962e-08,140.0,1.7845991763221457e-06,0.0,2.8052330578410187e-09,1.0,1.0,0.1642857142857142,1
270015,803509003594715136,Tue Nov 29 08:00:49 +0000 2016,20,20,0,0,271,271,311,311,1458,1458,0,0,1,141.0,6.0,1.0,0.0,1529230560000.0,1529230560000.0,1480406449000.0,0,0,0,0,0,0.0,6.369803640664343e-09,5.5505362913827564e-09,141.0,2.9862294881313874e-08,0.0,4.0963367464079376e-10,6.0,1.0,0.5785714285714286,1
270016,803514023828279296,Tue Nov 29 08:20:46 +0000 2016,95,95,0,0,167,167,949,949,2181,2181,0,0,1,127.0,2.0,2.0,1.0,1529246939000.0,1529246939000.0,1480407646000.0,0,0,0,0,0,0.0,1.9431075711927282e-08,3.419377917694263e-09,127.0,4.4656666098749636e-08,0.0,1.9451551028799704e-09,2.0,2.0,0.3285714285714285,1
270017,803526585018105856,Tue Nov 29 09:10:41 +0000 2016,456,456,0,0,280,280,23519,23513,275,275,0,0,5,688.0,13.0,5.0,3.0,1529253587000.0,1529253084000.0,1480410641000.0,6,0,0,0,0,0.0171428571428571,4.815229613709214e-07,5.7326599423384504e-09,137.6,5.630291014796691e-09,0.0,9.336046191808333e-09,2.6,1.0,0.6225714285714286,1
270018,803531903752171520,Tue Nov 29 09:31:49 +0000 2016,123,123,0,0,160,160,368,368,161,161,8,8,1,123.0,0.0,1.0,1.0,1529251638000.0,1529251638000.0,1480411909000.0,0,0,0,0,0,0.0,7.534849343656268e-09,3.276021453763595e-09,123.0,3.296496587849617e-09,1.6380107268817975e-10,2.5184414925807635e-09,0.0,1.0,0.0814285714285714,1
270019,803540240556244992,Tue Nov 29 10:04:57 +0000 2016,42,42,0,0,260,260,65,64,386,386,0,0,2,65.0,3.0,0.0,0.0,1529250853000.0,1529236817000.0,1480413897000.0,1,0,0,0,0,0.0028571428571428,1.3309592841945347e-09,5.3238371367781395e-09,32.5,7.903850518447547e-09,0.0,8.600044605564686e-10,1.5,0.0,0.1242857142857142,1
270020,803542889296838657,Tue Nov 29 10:15:28 +0000 2016,288,288,0,0,208,208,814,814,14252,14252,0,0,1,35.0,0.0,0.0,1.0,1529244809000.0,1529244809000.0,1480414528000.0,0,0,0,0,0,0.0,1.6669983938859578e-08,4.259651915580826e-09,35.0,2.918680726002785e-07,0.0,5.8979795754196045e-09,0.0,0.0,0.0,1
270021,803550350523461632,Tue Nov 29 10:45:07 +0000 2016,9,9,0,0,69,69,4299,4299,1108,1108,5,5,1,100.0,1.0,0.0,1.0,1529254331000.0,1529254331000.0,1480416307000.0,0,0,0,0,0,0.0,8.802567442122557e-08,1.412833574102015e-09,100.0,2.268724058123236e-08,1.0237924450014604e-10,1.8428264010026283e-10,1.0,0.0,0.0828571428571428,1
270022,803551212264112132,Tue Nov 29 10:48:33 +0000 2016,68,68,0,0,198,198,7289,7285,1136,1134,3,3,2,282.0,9.0,2.0,0.0,1529239588000.0,1529235067000.0,1480416513000.0,4,0,2,0,0,0.0114285714285714,1.4929416059926584e-07,4.055459431836278e-09,141.0,2.326768643720208e-08,6.144635502782239e-11,1.3927840472973078e-09,4.5,1.0,0.5357142857142857,1
270023,803553974561349632,Tue Nov 29 10:59:31 +0000 2016,87,87,0,0,152,152,5476,5476,9425,9425,4,4,1,70.0,0.0,1.0,1.0,1529241763000.0,1529241763000.0,1480417171000.0,0,0,0,0,0,0.0,1.1215659518465612e-07,3.1131852571343557e-09,70.0,1.930379674242849e-07,8.192592781932515e-11,1.7818889300703219e-09,0.0,1.0,0.0814285714285714,1
270024,803559270109233152,Tue Nov 29 11:20:34 +0000 2016,125,125,0,0,189,189,2662,2662,595,595,0,0,1,118.0,3.0,0.0,1.0,1529229641000.0,1529229641000.0,1480418434000.0,0,0,0,0,0,0.0,5.4536655895438114e-08,3.8720615943793405e-09,118.0,1.2189823537860886e-08,0.0,2.560887297869934e-09,3.0,0.0,0.2485714285714285,1
270025,803563148376567808,Tue Nov 29 11:35:58 +0000 2016,357,357,0,0,1469,1469,48,47,126,126,0,0,2,282.0,16.0,2.0,2.0,1529239208000.0,1529239205000.0,1480419358000.0,1,0,0,0,0,0.0028571428571428,9.832066259933204e-10,3.0090219449670575e-08,141.0,2.580917393232466e-09,0.0,7.312599280825321e-09,8.0,1.0,0.8257142857142856,1
270026,803574287416393728,Tue Nov 29 12:20:14 +0000 2016,1043,1043,0,0,1753,1753,19822,19822,32486,32486,3,3,1,140.0,2.0,2.0,0.0,1529226211000.0,1529226211000.0,1480422014000.0,0,0,0,0,0,0.0,4.061535937165404e-07,3.5919041962723e-08,140.0,6.656394735887161e-07,6.147012315354763e-11,2.1371112816383397e-08,2.0,2.0,0.3285714285714285,1
